Date,PortfolioValue,Peak,Drawdown
2021-04-19,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-20,109296.38137363509,112450.00027538885,-2.8044632227928767
2021-04-21,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-22,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-23,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-26,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-27,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-28,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-29,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-04-30,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-03,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-04,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-05,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-06,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-07,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-10,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-11,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-12,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-13,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-14,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-17,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-18,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-19,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-20,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-21,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-24,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-25,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-26,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-27,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-05-28,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-01,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-02,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-03,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-04,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-07,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-08,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-09,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-10,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-11,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-14,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-15,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-16,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-17,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-18,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-21,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-22,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-23,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-24,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-25,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-28,108555.22770039867,112450.00027538885,-3.4635594179207927
2021-06-29,109569.88727423323,112450.00027538885,-2.561238767543137
2021-06-30,110051.32184454573,112450.00027538885,-2.133106647371085
2021-07-01,110288.24689337386,112450.00027538885,-1.9224129628464985
2021-07-02,112343.93805548323,112450.00027538885,-0.09431944832892673
2021-07-06,113918.2424988426,113918.2424988426,0.0
2021-07-07,114915.33276468332,114915.33276468332,0.0
2021-07-08,114915.33276468332,114915.33276468332,0.0
2021-07-09,114915.33276468332,114915.33276468332,0.0
2021-07-12,114915.33276468332,114915.33276468332,0.0
2021-07-13,114915.33276468332,114915.33276468332,0.0
2021-07-14,114915.33276468332,114915.33276468332,0.0
2021-07-15,114915.33276468332,114915.33276468332,0.0
2021-07-16,114915.33276468332,114915.33276468332,0.0
2021-07-19,114915.33276468332,114915.33276468332,0.0
2021-07-20,114915.33276468332,114915.33276468332,0.0
2021-07-21,114915.33276468332,114915.33276468332,0.0
2021-07-22,114915.33276468332,114915.33276468332,0.0
2021-07-23,114915.33276468332,114915.33276468332,0.0
2021-07-26,114915.33276468332,114915.33276468332,0.0
2021-07-27,114915.33276468332,114915.33276468332,0.0
2021-07-28,114915.33276468332,114915.33276468332,0.0
2021-07-29,114915.33276468332,114915.33276468332,0.0
2021-07-30,114915.33276468332,114915.33276468332,0.0
2021-08-02,114915.33276468332,114915.33276468332,0.0
2021-08-03,114915.33276468332,114915.33276468332,0.0
2021-08-04,114915.33276468332,114915.33276468332,0.0
2021-08-05,114915.33276468332,114915.33276468332,0.0
2021-08-06,114915.33276468332,114915.33276468332,0.0
2021-08-09,114915.33276468332,114915.33276468332,0.0
2021-08-10,114915.33276468332,114915.33276468332,0.0
2021-08-11,114915.33276468332,114915.33276468332,0.0
2021-08-12,114915.33276468332,114915.33276468332,0.0
2021-08-13,114915.33276468332,114915.33276468332,0.0
2021-08-16,114915.33276468332,114915.33276468332,0.0
2021-08-17,114915.33276468332,114915.33276468332,0.0
2021-08-18,114915.33276468332,114915.33276468332,0.0
2021-08-19,114915.33276468332,114915.33276468332,0.0
2021-08-20,114915.33276468332,114915.33276468332,0.0
2021-08-23,114915.33276468332,114915.33276468332,0.0
2021-08-24,114915.33276468332,114915.33276468332,0.0
2021-08-25,114915.33276468332,114915.33276468332,0.0
2021-08-26,114915.33276468332,114915.33276468332,0.0
2021-08-27,114915.33276468332,114915.33276468332,0.0
2021-08-30,114915.33276468332,114915.33276468332,0.0
2021-08-31,114915.33276468332,114915.33276468332,0.0
2021-09-01,114915.33276468332,114915.33276468332,0.0
2021-09-02,114915.33276468332,114915.33276468332,0.0
2021-09-03,114915.33276468332,114915.33276468332,0.0
2021-09-07,114915.33276468332,114915.33276468332,0.0
2021-09-08,114915.33276468332,114915.33276468332,0.0
2021-09-09,114915.33276468332,114915.33276468332,0.0
2021-09-10,114915.33276468332,114915.33276468332,0.0
2021-09-13,114915.33276468332,114915.33276468332,0.0
2021-09-14,114915.33276468332,114915.33276468332,0.0
2021-09-15,114915.33276468332,114915.33276468332,0.0
2021-09-16,114915.33276468332,114915.33276468332,0.0
2021-09-17,114915.33276468332,114915.33276468332,0.0
2021-09-20,114915.33276468332,114915.33276468332,0.0
2021-09-21,114915.33276468332,114915.33276468332,0.0
2021-09-22,114915.33276468332,114915.33276468332,0.0
2021-09-23,114915.33276468332,114915.33276468332,0.0
